minute_of_day,core_temperature,ambient_temperature
833.1666666666666,11.724999999999998,17.9
834.1666666666666,11.774999999999999,17.9
835.1666666666666,11.95,9.9
836.1666666666666,11.95,9.9
837.1666666666666,11.825000000000001,9.9
838.1666666666666,11.850000000000001,9.9
839.1666666666666,11.975,19.8
840.1666666666666,11.899999999999999,19.8
841.1666666666666,11.925,19.8
842.1666666666666,11.95,19.8
843.1666666666666,12.1,19.8
844.1666666666666,12.2,19.8
845.1666666666666,12.099999999999998,11.6
846.1666666666666,12.174999999999999,11.6
847.1666666666666,12.2,11.6
848.1666666666666,12.149999999999999,11.6
849.1666666666666,12.274999999999999,21.4
850.1666666666666,12.325,21.4
851.1666666666666,12.225,21.4
852.1666666666666,12.274999999999999,21.4
853.1666666666666,12.25,21.4
854.1666666666666,12.1,21.4
855.1666666666666,12.274999999999999,13.3
856.1666666666666,12.075000000000001,13.3
857.1666666666666,12.249999999999998,13.3
858.1666666666666,12.1,13.3
859.1666666666666,12.0,17.4
860.1666666666666,11.975,17.4
861.1666666666666,12.174999999999999,17.4
862.1666666666666,12.200000000000001,17.4
863.1666666666666,12.149999999999999,17.4
864.1666666666666,12.075,17.4
865.1666666666666,12.100000000000001,15.4
865.8333333333334,12.075,15.4
866.1666666666666,12.15,15.4
867.1666666666666,12.0,15.4
868.1666666666666,12.100000000000001,15.4
869.1666666666666,12.05,11.3
870.1666666666666,11.925,11.3
871.1666666666666,11.775,11.3
872.1666666666666,11.925,11.3
873.1666666666666,11.975,11.3
874.1666666666666,11.75,11.3
875.1666666666666,11.725,13.1
876.1666666666666,11.85,13.1
877.1666666666666,11.7,13.1
878.1666666666666,11.799999999999999,13.1
879.1666666666666,11.924999999999999,6.5
880.1666666666666,11.925,6.5
881.1666666666666,11.95,6.5
882.1666666666666,11.75,6.5
883.1666666666666,11.95,6.5
884.1666666666666,11.95,6.5
885.1666666666666,12.0,16.0
886.1666666666666,11.8,16.0
887.1666666666666,12.075,16.0
888.1666666666666,11.875,16.0
889.1666666666666,12.024999999999999,9.2
890.1666666666666,11.95,9.2
891.1666666666666,11.95,9.2
892.1666666666666,12.075,9.2
893.1666666666666,12.0,9.2
894.1666666666666,12.075000000000001,9.2
895.1666666666666,12.2,18.5
896.1666666666666,12.1,18.5
897.1666666666666,12.25,18.5
898.1666666666666,12.3,18.5
899.1666666666666,12.35,14.1
900.1666666666666,12.399999999999999,14.1
901.1666666666666,12.350000000000001,14.1
902.1666666666666,12.475000000000001,14.1
903.1666666666666,12.225000000000001,14.1
904.1666666666666,12.275000000000002,14.1
905.1666666666666,12.65,18.7
906.1666666666666,12.5,18.7
907.1666666666666,12.525,18.7
908.1666666666666,12.549999999999999,18.7
909.1666666666666,12.575,16.7
910.1666666666666,12.85,16.7
911.1666666666666,12.875,16.7
912.1666666666666,12.774999999999999,16.7
913.1666666666666,12.950000000000001,16.7
914.1666666666666,12.8,16.7
915.1666666666666,13.075000000000001,21.3
916.1666666666666,13.075,21.3
917.1666666666666,13.149999999999999,21.3
918.1666666666666,13.0,21.3
919.1666666666666,13.25,19.5
920.1666666666666,13.075,19.5
921.1666666666666,13.350000000000001,19.5
922.1666666666666,13.4,19.5
923.1666666666666,13.25,19.5
924.1666666666666,13.275,19.5
925.1666666666666,13.35,19.7
926.1666666666666,13.65,19.7
927.1666666666666,13.525,19.7
928.1666666666666,13.7,19.7
929.1666666666666,13.6,21.6
930.1666666666666,13.75,21.6
931.1666666666666,13.65,21.6
932.1666666666666,13.850000000000001,21.6
933.1666666666666,13.65,21.6
934.1666666666666,13.65,21.6
935.1666666666666,13.825000000000001,13.1
936.1666666666666,13.900000000000002,13.1
937.1666666666666,13.8,13.1
938.1666666666666,13.875,13.1
939.1666666666666,13.899999999999999,23.2
940.1666666666666,13.899999999999999,23.2
941.1666666666666,13.975,23.2
942.1666666666666,14.05,23.2
943.1666666666666,13.875,23.2
944.1666666666666,14.025,23.2
945.1666666666666,13.774999999999999,8.6
946.1666666666666,13.825,8.6
947.1666666666666,13.774999999999999,8.6
948.1666666666666,13.825000000000001,8.6
949.1666666666666,13.874999999999998,19.3
950.1666666666666,13.875,19.3
951.1666666666666,13.875,19.3
952.1666666666666,13.875,19.3
953.1666666666666,13.65,19.3
954.1666666666666,13.775,19.3
955.1666666666666,13.75,8.7
956.1666666666666,13.725,8.7
957.1666666666666,13.5,8.7
957.8333333333334,13.7,8.7
958.1666666666666,13.450000000000001,8.7
959.1666666666666,13.4,13.1
960.1666666666666,13.425,13.1
961.1666666666666,13.475,13.1
962.1666666666666,13.55,13.1
963.1666666666666,13.325000000000001,13.1
964.1666666666666,13.325000000000001,13.1
965.1666666666666,13.525,14.6
966.1666666666666,13.5,14.6
967.1666666666666,13.525,14.6
968.1666666666666,13.3,14.6
969.1666666666666,13.275,8.3
970.1666666666666,13.3,8.3
971.1666666666666,13.275,8.3
972.1666666666666,13.5,8.3
973.1666666666666,13.3,8.3
974.1666666666666,13.325,8.3
975.1666666666666,13.325,17.6
976.1666666666666,13.475000000000001,17.6
977.1666666666666,13.4,17.6
978.1666666666666,13.4,17.6
979.1666666666666,13.425,11.5
980.1666666666666,13.475,11.5
981.1666666666666,13.575,11.5
982.1666666666666,13.5,11.5
983.1666666666666,13.674999999999999,11.5
984.1666666666666,13.825000000000001,11.5
985.1666666666666,13.75,20.2
986.1666666666666,13.675,20.2
987.1666666666666,13.75,20.2
988.1666666666666,13.925,20.2
989.1666666666666,13.875,16.2
990.1666666666666,13.9,16.2
991.1666666666666,13.850000000000001,16.2
992.1666666666666,13.925,16.2
993.1666666666666,14.149999999999999,16.2
994.1666666666666,14.2,16.2
995.1666666666666,14.25,21.9
996.1666666666666,14.099999999999998,21.9
997.1666666666666,14.15,21.9
998.1666666666666,14.175,21.9
999.1666666666666,14.225000000000001,18.6
1000.1666666666666,14.375,18.6
1001.1666666666666,14.499999999999998,18.6
1002.1666666666666,14.6,18.6
1003.1666666666666,14.450000000000001,18.6
1004.1666666666666,14.475000000000001,18.6
1005.1666666666666,14.649999999999999,23.2
1006.1666666666666,14.649999999999999,23.2
1007.1666666666666,14.875,23.2
1008.1666666666666,14.75,23.2
1009.1666666666666,14.875,21.4
1010.1666666666666,14.9,21.4
1011.1666666666666,14.925,21.4
1012.1666666666666,15.025,21.4
1013.1666666666666,14.925,21.4
1014.1666666666666,15.075,21.4
1015.1666666666666,15.0,21.4
1016.1666666666666,15.275,21.4
1017.1666666666666,15.325,21.4
1018.1666666666666,15.225,21.4
1018.8333333333334,15.0,21.4
1019.1666666666666,15.4,23.5
1020.1666666666666,15.325,23.5
1021.1666666666666,15.475000000000001,23.5
1022.1666666666666,15.525,23.5
1023.1666666666666,15.524999999999999,23.5
1024.1666666666667,15.325,23.5
1025.1666666666667,15.350000000000001,23.5
1026.1666666666667,15.400000000000002,23.5
1027.1666666666667,15.625,23.5
1028.1666666666667,15.75,23.5
1029.1666666666667,15.674999999999999,25.1
1030.1666666666667,15.6,25.1
1031.1666666666667,15.575000000000001,25.1
1032.1666666666667,15.700000000000001,25.1
1033.1666666666667,15.675,25.1
1034.1666666666667,15.474999999999998,25.1
1035.1666666666667,15.474999999999998,25.1
1036.1666666666667,15.55,25.1
1037.1666666666667,15.45,25.1
1038.1666666666667,15.45,25.1
1039.1666666666667,15.375,21.2
1040.1666666666667,15.350000000000001,21.2
1041.1666666666667,15.55,21.2
1042.1666666666667,15.474999999999998,21.2
1043.1666666666667,15.475,21.2
1044.1666666666667,15.4,21.2
1045.1666666666667,15.350000000000001,21.2
1046.1666666666667,15.350000000000001,21.2
